Doctor Name,Phone number,age,ID,department,specialization
Alex,0745623220,39,1,GENERAL_SURGERY,GENERAL_SURGERY
Daniela,0745463890,28,2,NEUROLOGY,NEUROLOGY
Alex,0745463890,36,3,NEUROLOGY,NEUROLOGY
Costin,0745463890,36,4,CARDIOLOGY,CARDIOLOGY
Ionut,0745623811,47,5,NEUROLOGY,NEUROLOGY
Alex,0725623890,50,6,INTERNAL_MEDICINE,INTERNAL_MEDICINE
Andrei,0745463890,31,7,INTERNAL_MEDICINE,INTERNAL_MEDICINE
Daniela,0745463890,47,8,GENERAL_SURGERY,GENERAL_SURGERY
Daniela,0745623220,51,9,GENERAL_SURGERY,GENERAL_SURGERY
Costin,0725623890,48,10,NEUROLOGY,NEUROLOGY
Andrei,0745623811,44,11,GENERAL_SURGERY,GENERAL_SURGERY
Costin,0745623220,40,12,NEUROLOGY,NEUROLOGY
Costin,0745623811,40,13,INTERNAL_MEDICINE,INTERNAL_MEDICINE
Costin,0745463890,48,14,CARDIOLOGY,CARDIOLOGY
Costin,0745623220,34,15,NEUROLOGY,NEUROLOGY
Andrei,0745463890,47,16,GENERAL_SURGERY,GENERAL_SURGERY
Daniela,0745463890,34,17,NEUROLOGY,NEUROLOGY
Alex,0745623811,54,18,CARDIOLOGY,CARDIOLOGY
Daniela,0725623890,34,19,CARDIOLOGY,CARDIOLOGY
Andrei,0745463890,32,20,CARDIOLOGY,CARDIOLOGY
Costin,0745623811,45,21,GENERAL_SURGERY,GENERAL_SURGERY
Ionut,0745463890,40,22,NEUROLOGY,NEUROLOGY
Ionut,0745623811,48,23,INTERNAL_MEDICINE,INTERNAL_MEDICINE
Alex,0745623811,29,24,INTERNAL_MEDICINE,INTERNAL_MEDICINE
Ionut,0745623220,36,25,CARDIOLOGY,CARDIOLOGY
Ionut,0745623220,47,26,CARDIOLOGY,CARDIOLOGY
Daniela,0745623811,41,27,INTERNAL_MEDICINE,INTERNAL_MEDICINE
Ionut,0745463890,42,28,NEUROLOGY,NEUROLOGY
Andrei,0725623890,41,29,NEUROLOGY,NEUROLOGY
Costin,0725623890,29,30,INTERNAL_MEDICINE,INTERNAL_MEDICINE
Daniela,0745623811,28,31,INTERNAL_MEDICINE,INTERNAL_MEDICINE
Andrei,0745623220,30,32,NEUROLOGY,NEUROLOGY
Costin,0745623220,50,33,CARDIOLOGY,CARDIOLOGY
Andrei,0745623220,49,34,NEUROLOGY,NEUROLOGY
Florica,0745623220,36,35,GENERAL_SURGERY,GENERAL_SURGERY
